danjigubn,sedesu,nambang,sigog,siheg,gukag,eill,guard,danjicode,clean,food,water,ellbe,gisa,giha,cctv,gucha,amenities,doro,donli,danjiname,amenitiesCnt,price,market,school,station,bank,café,hospital ,ipji
아파트,69,개별난방,금강KCC건설,금강kcc건설,,1,3,A10024154,1,,부스타방식,2,0,76,31,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 광진구 아차산로36길 13,자양동,금강KCC아파트,4,3689,30,80,20,26,87,40,283
,116,개별난방,삼호,삼호,,,,A10024322,,,,0,,,,,,서울특별시 서초구 방배로3길 10-3,방배동,삼호한숲아파트,0,4627,40,40,20,9,31,18,158
,122,개별난방,KCC건설,KCC건설,한국주택시설관리(주),16,,A10024334,,,,,,,,,관리사무소,서울특별시 마포구 백범로 202,신공덕동,마포KCC웰츠타워,1,3988,30,20,250,45,145,106,596
,136,개별난방,아이씨건설,현대산업개발,광인산업(주),3,0,A10024353,2,차량수거방식,부스타방식,5,60,124,52,무,"관리사무소, 어린이놀이터, 자전거보관소",서울특별시 강서구 공항대로 637,염창동,염창현대아이파크아파트,3,3632,10,20,50,21,46,37,184
아파트,114,개별난방,고려산업개발(주),고려산업개발(주),서일개발(주),1,2,A10024367,1,음식물쓰레기종량제,압력탱크식,3,0,124,26,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",서울특별시 강서구 양천로 497,가양동,가양동 강나루 2차현대아파트,4,2815,100,140,50,21,47,64,422
,148,개별난방,거산건설,거산건설외,,1,2,A10024391,1,기타,수도직결식,5,13,156,31,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",서울특별시 강서구 등촌로13자길 74,화곡동,태영방송인아파트,4,1748,20,80,0,7,11,0,118
,111,개별난방,,,,,,A10024428,,,,,,,,,,서울특별시 서대문구 수색로 147-1,북가좌동,북가좌 신일해피트리아파트,0,2669,40,100,70,2,14,5,231
아파트,115,개별난방,영동건설,SH공사,(주)동우개발,2,2,A10024434,1,음식물쓰레기종량제,고가수조식,5,27,93,32,무,"관리사무소, 노인정, 자전거보관소",서울특별시 노원구 동일로239나길 31,상계동,상록수아파트,3,2011,40,20,20,16,51,33,180
,136,개별난방,,,,,,A10024457,,,,,,,,,,서울특별시 강남구 언주로122길 25,논현동,논현두산2차아파트,0,5417,30,20,0,33,119,92,294
도시형 생활주택(주상복합),187,개별난방,(주)도시공감,코리아신탁주식회사,,0,2,A10024463,1,거점장비수거방식,부스타방식,2,8,94,68,무,"관리사무소, 자전거보관소",서울특별시 도봉구 도봉로150다길 28,방학동,방학지음재힐스,2,2876,30,40,100,23,45,51,289
주상복합,108,개별난방,(주)풍성주택,(주)풍성주택,(주)아스타아이비에스,11,3,A10024514,4,음식물쓰레기종량제,부스타방식,2,0,248,118,유,관리사무소,서울특별시 관악구 관악로 195,봉천동,관악위버폴리스,1,2334,40,60,50,35,127,125,437
아파트,128,개별난방,대명건설,대명건설,,,,A10024587,,,,,,,,,,서울특별시 마포구 동교로39길 11,연남동,대명비발디아파트,0,3357,20,60,0,17,456,31,584
,96,개별난방,대우건설,대우건설,(주)무림하우징,4,2,A10024594,1,차량수거방식,부스타방식,3,7,104,45,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 동대문구 한천로58길 181,이문동,이문2차푸르지오아파트,5,2405,30,20,20,6,12,7,95
,88,개별난방,세양건설,세양건설,(주)현대개발,3,2,A10024597,1,차량수거방식,부스타방식,3,30,58,17,무,"관리사무소, 어린이놀이터, 자전거보관소",서울특별시 마포구 독막로42길 5,염리동,염리동세양청마루아파트,3,5281,50,60,60,47,185,101,503
아파트,104,개별난방,,,주식회사 한빛종합관리,,,A10024603,,,,,,,,,,서울특별시 성북구 종암로9길 71,종암동,종암sh빌아파트,0,3539,20,40,0,15,27,21,123
아파트,104,개별난방,,,주식회사 한빛종합관리,,,A10024603,,,,,,,,,,서울특별시 성북구 종암로9길 71,종암동,종암sh빌아파트,0,3539,20,40,0,15,27,21,123
아파트,127,개별난방,,,,,,A10024621,,,,,,,,,,서울특별시 관악구 호암로 541,신림동,태흥아파트,0,2095,10,100,0,10,13,3,136
아파트,109,개별난방,,,(주)현장종합관리,,,A10024634,,,,,,,,,,서울특별시 관악구 호암로16길 5,신림동,신림서초아파트,0,2409,10,60,0,7,7,3,87
아파트,115,개별난방,세양건설,..,(주)아주관리,1,2,A10024636,1,음식물쓰레기종량제,부스타방식,4,78,52,29,유,"관리사무소, 노인정",서울특별시 노원구 석계로13길 35,월계동,세양청마루,2,2117,40,100,40,15,41,9,245
아파트,118,개별난방,월드건설(주),미주연립재건축조합,영광관리(주),1,2,A10024638,1,차량수거방식,부스타방식,6,38,92,20,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 관악구 관악로28길 80,봉천동,관악월드메르디앙아파트,4,2295,20,100,0,13,58,49,240
아파트,142,개별난방,대림산업,대림산업,(주)미래에이비엠,2,4,A10024640,3,차량수거방식,부스타방식,7,72,145,68,무,"관리사무소, 어린이놀이터",서울특별시 강남구 도산대로70길 25,청담동,청담2차e편한세상아파트,2,6021,20,40,0,18,108,136,322
아파트,140,개별난방,,,,,,A10024642,,,,,,,,,,서울특별시 동작구 사당로16아길 43,사당동,사당진흥아파트,0,2388,40,60,20,9,20,33,182
