doro,one,two,three,delta
서울특별시 강남구 강남대로 240,3244,3612,3661,417 
서울특별시 강남구 강남대로 256,3205,3263,3390,185 
서울특별시 강남구 강남대로 272,2443,0,3138,695 
서울특별시 강남구 강남대로 324,3459,4144,3459,0 
서울특별시 강남구 강남대로112길 41,2605,2949,3114,509 
서울특별시 강남구 강남대로120길 58,2218,0,3179,961 
서울특별시 강남구 강남대로124길 51,3032,3180,2780,-252 
서울특별시 강남구 강남대로136길 40,3834,3546,3991,157 
서울특별시 강남구 강남대로146길 28,4845,5735,5924,1079 
서울특별시 강남구 강남대로162길 41-8,3087,2945,2588,-499 
서울특별시 강남구 강남대로48길 24,4272,0,5184,912 
서울특별시 강남구 강남대로54길 6,2188,2901,3333,1145 
서울특별시 강남구 강남대로84길 33,2973,3076,3059,86 
서울특별시 강남구 개포로 303,4555,4590,6226,1671 
서울특별시 강남구 개포로 307,4304,4871,5440,1136 
서울특별시 강남구 개포로 310,11062,10557,15168,4106 
서울특별시 강남구 개포로 311,4962,5814,7772,2810 
서울특별시 강남구 개포로 409,5249,5910,6042,793 
서울특별시 강남구 개포로 411,5554,5803,5654,100 
서울특별시 강남구 개포로 516,7132,7289,9583,2451 
서울특별시 강남구 개포로109길 21,6393,7263,8210,1817 
서울특별시 강남구 개포로109길 69,3434,4134,4988,1554 
서울특별시 강남구 개포로109길 9,6648,7137,8759,2111 
서울특별시 강남구 개포로110길 15,4929,5889,6816,1887 
서울특별시 강남구 개포로110길 21,5000,4506,5967,967 
서울특별시 강남구 개포로110길 43,4294,4554,5367,1073 
서울특별시 강남구 개포로110길 50,7442,6717,8091,649 
서울특별시 강남구 개포로124길 27,4755,5282,5917,1162 
서울특별시 강남구 개포로28길 28,2231,0,2462,231 
서울특별시 강남구 광평로10길 15,5799,5332,7017,1218 
서울특별시 강남구 광평로10길 6,5453,5453,6232,779 
서울특별시 강남구 광평로19길 10,5853,6667,7289,1436 
서울특별시 강남구 광평로19길 15,4165,4831,4532,367 
서울특별시 강남구 광평로31길 27,4916,5564,5981,1065 
서울특별시 강남구 광평로34길 35,5511,5477,6186,675 
서울특별시 강남구 광평로34길 55,4958,4997,5868,910 
서울특별시 강남구 광평로39길 3,4164,4708,5848,1684 
서울특별시 강남구 광평로47길 17,6075,6363,8205,2130 
서울특별시 강남구 광평로51길 22,2978,4394,3901,923 
서울특별시 강남구 광평로51길 27,4123,5299,6192,2069 
서울특별시 강남구 남부순환로 2615,2806,3591,3776,970 
서울특별시 강남구 남부순환로 2740,5153,5151,6588,1435 
서울특별시 강남구 남부순환로 2803,6797,7045,7464,667 
서울특별시 강남구 남부순환로351길 23,1747,2929,3037,1290 
서울특별시 강남구 남부순환로363길 30,3584,6000,5724,2140 
서울특별시 강남구 남부순환로363길 49,4574,5160,5757,1183 
서울특별시 강남구 남부순환로365길 33,4762,5831,6700,1938 
