지 역,,18 1~3,18 3~6,18 6~9,18 9~12,,18 1~3,,전분기대비,,전분기대비,,전분기대비,,전분기대비,,전분기대비,,전분기대비,,전분기대비,,전년대비,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울,종로구,3.3,5.4,3.9,2.3,,-2,,4.5,,4.2,,2.6,,2.2,,7.9,,4.5,,6.4,,2019 상승률,,,,2020 상승률,,,,2021 상승률
서울,중구,5.9,8.9,5.4,-4.6,,2.4,,4.6,,4.9,,4.8,,5,,6.3,,10.4,,7.2,,14.9,,,,9.3,,,,21
서울,용산구,8.3,9.2,0.2,-0.9,,0.8,,6.2,,6.8,,2.9,,-1.3,,10.4,,6.8,,8.5,,15.6,,,,16.7,,,,28.9
서울,성동구,7.9,6.6,4.4,-5.2,,2.1,,5.8,,7.5,,9.1,,4.7,,11.5,,10.9,,10.6,,16.8,,,,16.7,,,,24.4
서울,광진구,3.9,6.1,3.4,-6,,1.8,,7.1,,10.3,,7.9,,1.4,,11.2,,9,,6.9,,13.7,,,,24.5,,,,37.7
서울,동대문구,7.1,8.1,6.9,-4,,1.2,,3.5,,4.6,,7.7,,5.9,,9.3,,9.7,,9.2,,7.4,,,,27.1,,,,28.5
서울,중랑구,2.6,6.8,7,0.7,,0.4,,2.9,,4.3,,6.4,,5.9,,14.2,,9.9,,8.1,,18.1,,,,17,,,,34.1
서울,성북구,5.3,8.1,10,-4.7,,-0.6,,4.3,,5.9,,9.4,,8,,14.9,,11.3,,6.1,,17.1,,,,14,,,,38.1
서울,강북구,2.6,7.2,9.2,-4.7,,0.2,,2.8,,2.3,,7.3,,8.9,,13.6,,11.5,,8.4,,18.7,,,,19,,,,40.3
서울,도봉구,1.4,6.4,9.3,-1.8,,-0.2,,2.8,,3.4,,4.6,,4.4,,16.4,,13.7,,15.7,,14.3,,,,12.6,,,,42.4
서울,노원구,1.6,7.4,9.6,-3.8,,0.7,,4.7,,5.2,,8,,7.2,,18.5,,12.3,,14.9,,15.3,,,,10.6,,,,50.2
서울,은평구,3.5,6.9,6.2,-4.5,,2.6,,2.7,,2.9,,3.9,,4.8,,9.1,,11.1,,7.5,,14.8,,,,18.6,,,,52.9
서울,서대문구,6.5,7.7,6.8,-5.7,,1.2,,4.7,,6.1,,6.4,,4.8,,10.8,,9.9,,7.6,,12.1,,,,12.1,,,,32.5
서울,마포구,7.3,7.8,3.7,-5.1,,3.2,,7.4,,6.2,,5.6,,4,,7.8,,7.7,,8.5,,15.3,,,,18.4,,,,33.1
서울,양천구,1.6,9,4.6,-3.1,,1.3,,6.3,,8.8,,7.5,,3.7,,13.4,,7,,8.9,,13.7,,,,22.4,,,,28
서울,강서구,4,8.2,6.4,-5.1,,-1.2,,4.1,,4.5,,5.2,,2.4,,9.3,,9.2,,8.2,,12.1,,,,23.9,,,,33
서울,구로구,3,6.3,8.3,-3.1,,0.9,,3.9,,5.2,,5.6,,5.3,,11.7,,7.5,,8.4,,13.5,,,,12.6,,,,29.1
서울,금천구,1.9,4.4,5.4,-1.1,,1.4,,2.9,,4.8,,5.9,,5.3,,12.4,,6.2,,10.1,,14.5,,,,15.6,,,,32.9
서울,영등포구,7.3,8.6,7.2,-2.9,,1.2,,6.4,,7.5,,6.3,,4.9,,9.4,,8.6,,8.3,,10.6,,,,15,,,,34
서울,동작구,7.1,8,5.1,-7.2,,3.2,,5.3,,6.6,,6.3,,3.5,,9.2,,8.9,,8.7,,20.2,,,,21.4,,,,31.2
서울,관악구,5,7.6,6.7,-2.6,,-0.1,,3.4,,3.9,,7.2,,4.1,,12.1,,7.1,,9.2,,13,,,,21.4,,,,30.3
서울,서초구,3.7,7.7,2.5,-6.6,,4.5,,7.3,,6.3,,-0.3,,1.3,,9.9,,3.7,,8.8,,16.7,,,,14.4,,,,32.5
서울,강남구,2.5,7.6,0.9,-6.9,,5.5,,8.1,,8.5,,1.1,,-0.3,,10.4,,2.9,,5.4,,7.3,,,,17.8,,,,23.7
서울,송파구,3,5.5,1.9,-8,,5,,7.2,,8,,5.4,,1.9,,11.7,,8.7,,7.4,,4.1,,,,23.2,,,,18.4
서울,강동구,4,7.2,3.8,-6.5,,-1.3,,6,,6.9,,7.9,,3.9,,12,,11.2,,10.1,,2.4,,,,25.6,,,,29.7
부산,서구,-0.2,-1.7,0.4,0,,-4,,2.2,,0.1,,-1.3,,1.1,,0.4,,1.5,,3.6,,8.5,,,,19.5,,,,37.2
부산,동구,-2.1,-1.3,-3.2,-5.5,,4.2,,-5.9,,3.1,,2.3,,2.8,,4.6,,17.5,,12.4,,-1.5,,,,-3,,,,6.6
부산,영도구,-0.7,-1.4,-2,-1.4,,-2.1,,-0.1,,0,,1,,0.3,,1.2,,7.1,,10.5,,-12.1,,,,3.7,,,,37.3
부산,부산진구,-0.4,-0.3,-1.6,-1.4,,-0.9,,-0.8,,0.7,,2.2,,0.7,,2.7,,9.6,,9.6,,-5.5,,,,-1.2,,,,19.1
부산,동래구,0.2,-1.3,-2.1,-2.8,,-0.7,,-1.1,,5.5,,4.9,,2.5,,4.8,,10,,12.5,,-3.7,,,,1.2,,,,22.6
부산,남구,-1.6,-1.5,0.3,-0.6,,-0.4,,-0.5,,3.7,,4.7,,0.6,,1.4,,7.2,,8.1,,-6,,,,8.6,,,,29.8
부산,북구,-2,-1.2,-0.1,-3,,-2,,-0.6,,0.7,,2,,0.8,,1.7,,6.8,,8.8,,-3.4,,,,7.5,,,,17.3
부산,해운대구,-1.5,-1.2,-0.5,-3,,-0.6,,-0.7,,6.1,,3.9,,2.3,,5.9,,13.1,,12,,-6.3,,,,0.1,,,,18.1
부산,사하구,-0.3,-1.4,-0.7,-1.4,,-1.4,,-0.7,,1.2,,0.5,,0.5,,0.8,,7,,8.3,,-6.2,,,,8.7,,,,33.3
