,2018. 01,2018. 02,2018. 03,2018. 04,2019. 01,2019. 02,2019. 03,2019. 04,2020. 01,2020. 02,2020. 03,2020. 04,2021. 01,2021. 02,2021. 03
서울,4768,8368,7701,22901,13540,7047,13828,11215,17154,13114,16960,9556,15381,6919,10895
인천,7613,1471,2676,3962,3564,1723,1172,2651,430,611,1290,4716,2781,5010,5668
경기,40812,42984,51375,44826,37373,50722,30528,21436,26159,36816,37429,29275,25684,22098,28739
부산,9362,6064,3265,7342,6212,7175,7672,5828,8691,4363,7055,3527,3713,5485,2862
대구,2104,3382,3744,7813,798,3181,1464,3971,2895,6204,3135,5306,2174,908,4772
광주,2168,2280,4096,210,4770,4126,2749,3193,3992,5383,3559,2426,2062,2390,655
대전,585,1898,4680,441,284,1522,2134,2229,422,2807,2665,2660,0,176,299
울산,3323,2828,247,3534,5196,3636,1824,1688,1655,57,25,1110,390,405,0
세종,7357,3599,1930,2355,1968,4238,4235,3150,558,0,1564,2172,871,845,2378
강원,2727,3103,6497,6407,4145,2930,3464,7449,1669,8360,1181,1824,3569,1793,3310
충북,5638,3459,9153,7107,1822,1525,6779,4023,3567,3043,5729,4729,2102,2434,2364
충남,7189,6197,7313,2434,1652,2237,3444,3172,1125,5720,3501,3620,2171,4039,2147
전북,5743,2497,3176,3357,5521,1245,2826,3674,2823,5060,3332,2616,1410,1866,1147
전남,1674,1715,2012,1835,2962,1991,2957,1119,1235,2847,7020,2564,1738,2126,2354
경북,10049,8081,6017,4400,10760,2174,1845,4428,2691,5308,1468,3404,4055,2098,1161
경남,9137,9132,4291,12731,9287,7503,4890,20964,3634,7904,6970,2626,3268,1705,866
제주,946,898,417,1823,308,184,415,431,90,244,1297,278,75,432,119
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
